file,utterance_no,start_time,end_time,text,speaker,context,pid,vid,sid,hispanic,ethnicity,gender,age,age_group,s_length
01480001-49,20,65,68,You have to put it again.,tadult,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,21,68,70,You have to put it again?,ochild,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,22,70,71,"And then, Now, yeah.",ochild,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,23,71,74,"Yeah, and then. What are you pointing at? Are you going to be more like this?",tadult,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,24,74,76,Are you looking at the,tadult,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,25,76,80,What are you pointing at?,tadult,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,26,80,81,What are you pointing at?,tadult,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,27,81,82,I don't know.,ochild,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,28,82,86,"Oh, so that's really where you're going to run for in our class.",tadult,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,29,86,94,I'm in to be by Cherry.,tadult,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,30,94,95,"What do? Here,",ochild,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,31,95,94,You're going to be,tadult,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,32,103,105,I'm making a video. I'm so pretty good.,kchild,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,33,105,107,I love your brother.,tadult,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,34,107,110,I'm going to get your kids.,ochild,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,35,110,114.72,Do you want to show me some sticks by the sand area.,radult,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,36,114.72,117.12,[name] you did a great job picking out her dress,radult,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,37,117.12,118.12,It's so pretty.,radult,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,38,118.12,119.12,Nice.,radult,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,39,119.12,120.12,You need everything.,radult,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,40,120.12,123,I guess what you do? I love it,radult,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,41,123,125,"Oh, okay, let me help you [name]",radult,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,42,125,127,Good try,tadult,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,43,127,128,"Yeah, I'm going to take it off.",radult,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,44,128,130,Are you feeling cool?,radult,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,45,130,143,"Here you go. Okay, okay. I need to go Pee. Go pee?",ochild,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,46,143,145,I'll hold this while you go pee,tadult,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,47,145,146,Do you?,ochild,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,48,146,148,Sure.,tadult,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,49,148,150,Go eat.,tadult,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,50,150,151,"But now,",ochild,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,51,151,153,Don't leave the opportunity.,ochild,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,52,153,155,"There are many, [name].",ochild,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,53,155,156,"I don't see one,",ochild,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,54,156,157,maybe.,ochild,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,55,157,164,I can do to go. I'm going to.,ochild,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,56,164,165,Are you going to here?,tadult,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,57,165,166,Hi.,ochild,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,58,166,168,I have a great,ochild,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,59,168,170,You want to write down here?,tadult,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,60,170,175,"Oh, I'm going to write down here. The other way, way, the boardway, oh, there you go.",radult,indoor_other,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,61,175,177,There you go.,radult,indoor_other,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,62,177,182.88,There you go. Are you're going to get,ochild,indoor_other,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,63,182.88,183.88,on the back?,tadult,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,64,183.88,186.88,I don't need to go back.,tadult,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,65,186.88,187.88,What?,ochild,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,66,187.88,188.88,I was going to stay away.,ochild,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,67,188.88,190.88,Okay.,tadult,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,68,190.88,195,"Okay. You don't want you to get left in, right?",tadult,indoor_other,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,69,195,203,"No, don't want to get left in, right? I have a little.",ochild,indoor_other,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,70,203,215,this one. Here you so much.,tadult,indoor_other,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,71,215,217,See you know how to go for us.,ochild,indoor_other,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,72,217,218,Look please.,radult,indoor_other,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,73,218,220,You can see her.,radult,indoor_other,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,74,220,223,"You can do so like that. I mean Jessica, she was a child.",tadult,indoor_other,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,75,223,224,"I mean, [name].",tadult,indoor_other,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,76,224,226,What that?,tadult,indoor_other,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,77,226,228,"Oh, yeah, I didn't see it.",tadult,indoor_other,01480001,1,49,no,asian,female,2.96,3,228
01480001-50,0,0,2,I'm going to squeeze his arm.,radult,indoor_other,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,1,2,15,"There you go, you're good. I want to come there. I'm going to come up.",radult,indoor_other,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,2,15,16,I come up.,ochild,indoor_other,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,3,16,18,"Ooh, I'm going to be hmm.",ochild,indoor_other,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,4,18,20,Are these the updated numbers?,radult,indoor_other,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,5,20,24,"I'm going to stay with batteries. They look better, yeah. Yeah, thank you.",radult,indoor_other,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,6,24,25,They're really good.,radult,indoor_other,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,7,25,45,"Okay. I like you were just to see. Whoa, it's wet. Oh.",ochild,outdoor_other,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,8,45,46,Oh.,ochild,outdoor_other,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,9,46,59.04,It's wet. I can see you see you,ochild,outdoor_other,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,10,59.04,60.88,I see you like a,ochild,outdoor_other,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,11,60.88,63,there's actually a hole here.,ochild,outdoor_other,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,12,63,65,You want to put your fingers through?,ochild,outdoor_other,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,13,65,69,"No, not this part, the other part here.",ochild,outdoor_other,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,14,69,72,Can you wait there?,ochild,outdoor_other,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,15,72,75,Yink.,kchild,outdoor_other,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,16,75,77,Heh. Heh.,kchild,outdoor_other,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,17,77,80,How are you?,tadult,outdoor_hood,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,18,80,82,How are you too?,tadult,outdoor_hood,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,19,82,85,"Well, I'm mask and mask. How are you two? Me too. Me too!",kchild,outdoor_hood,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,20,85,90,"All three of us are matching a triplet masks, don't we?",tadult,outdoor_hood,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,21,90,91,Yeah.,ochild,outdoor_hood,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,22,91,93,"That's pretty cool, isn't it?",tadult,outdoor_hood,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,23,93,95,Is that small one?,kchild,outdoor_hood,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,24,95,96,It is a small one.,tadult,outdoor_hood,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,25,96,97,It's a child's mask.,tadult,outdoor_hood,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,26,97,100,"I have a little face, don't I?",tadult,outdoor_hood,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,27,100,102,"But it fits me, don't you think?",tadult,outdoor_hood,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,28,102,103,Yeah.,tadult,outdoor_hood,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,29,103,105,Thank you.,tadult,outdoor_hood,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,30,105,106,"And then this is, um...",tadult,outdoor_hood,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,31,106,108,"Yeah, but we'll just use it snack and like...",tadult,outdoor_hood,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,32,108,110,"Okay, so I can get over by...",tadult,outdoor_hood,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,33,110,113,"Keep it outta teacher. Okay, so want to give this first?",tadult,outdoor_hood,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,34,113,120,You want to give this first?,tadult,outdoor_hood,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,35,120,121,Love to get more.,tadult,outdoor_hood,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,36,121,122,You like it.,tadult,outdoor_hood,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,37,122,125,You like this. love to get my heart. You know you do you want to take this of the uh...,tadult,outdoor_hood,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,38,125,127,whoa...,ochild,outdoor_hood,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,39,127,128,"Yes, perfect?",tadult,outdoor_hood,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,40,128,129,Are you?,ochild,outdoor_hood,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,41,129,134,Where are the bunnies?,tadult,outdoor_hood,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,42,134,137,"Are you out of where the bunnies, do you know?",tadult,outdoor_hood,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,43,137,145,"Oh, okay. You can just give them out to hear more.",tadult,outdoor_hood,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,44,145,148,You can just give them out to hear more.,tadult,outdoor_hood,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,45,148,149,There you go.,tadult,outdoor_hood,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,46,149,151,Put your audience hand them out.,tadult,outdoor_hood,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,47,151,157,"You want to feed some bunnies? You want to feed some bunnies? Olivia and Elize, you want to hand it for some bunnies?",tadult,outdoor_hood,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,48,157,158,No?,tadult,outdoor_hood,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,49,158,159,No.,kchild,outdoor_hood,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,50,159,160,"You want you, Eliza?",tadult,outdoor_hood,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,51,160,161,"No, you don't, you can't.",tadult,outdoor_hood,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,52,161,162,I actually do.,ochild,outdoor_hood,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,53,162,162.8,"You do, okay.",tadult,outdoor_hood,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,54,162.8,173,"Thank you. Oh, and look, here, I've got some for you, Eliza?",tadult,outdoor_hood,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,55,173,175,You're gonna money?,tadult,outdoor_hood,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,56,175,177,See him right here.,tadult,outdoor_hood,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,57,177,180,Where you're right here? Where are you?,ochild,outdoor_hood,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,58,180,181,My TV?,ochild,outdoor_grass,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,59,181,182,Let's go.,tadult,outdoor_grass,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,60,182,184,"Yeah, are you okay?",tadult,outdoor_grass,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,61,184,186,Is they going too fast for you?,tadult,outdoor_grass,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,62,186,188,"Okay, wait,",tadult,outdoor_grass,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,63,188,225,"wait. Oh, you're not going to see it. You found them. them. No, you have to be dead with him.",kchild,outdoor_grass,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,64,225,227,You have to beat the left head.,ochild,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,65,227,237,How about we just throw it and he might get it?,ochild,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,66,237,238,It's your time.,tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,67,238,240,So we're going to be here for me.,tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,68,240,242.6,I have a little notebook for three years really.,tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,69,242.6,244,It's a light mini day.,tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,70,244,247,"The light band there, yeah.",tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,71,247,248,"Hey,",ochild,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,72,248,250,Kither you want to be the bunny?,tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,73,250,255,"Oh, here that for you watch it, who? Here's that's Felicity.",ochild,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,74,255,257,"Is it funny, right?",tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,75,257,258,You have funny?,tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,76,258,259,You can?,tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,77,259,261,"Sure, yeah, here, here's some food for you.",tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,78,261,262.5,He's too scared. for you.,ochild,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,79,263.5,267,"too scared. 47. I mean, it's still for me.",tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,80,267,269,"I mean, I'll be more than I've come in since then.",tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,81,269,270,"Yeah, yeah. Hello.",ochild,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,82,270,272,She left the house room.,tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,83,272,273,Yeah.,tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,84,273,275,Are you looking for some parrotups for there?,tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,85,275,276,He sure did.,tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,86,276,277,Here's one.,tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,87,277,278,I bet he's gonna like them.,tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,88,278,279,"Yeah, where's big friend?",tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,89,279,280,Frank was just here.,tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,90,280,282,Where did he go?,tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,91,282,285,Do you go over in the red with grove trees.,tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,92,286,287,Yeah.,tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,93,287,290,"Are you cutting them, kiddo?",tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,94,290,295,"Um, I could use a bathroom. Yeah, you know what, give me just a second.",tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,95,295,298,"And actually, Catherine right now, so give me...",tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,96,298,301,"She's just going to get some water, so she'll be gathering just as a bath.",tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,97,301,302,I can never.,tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,98,302,305,Yeah. He ate so much of mine.,ochild,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,99,305,307,"Oh, that's what he said, oh, just leave that.",tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,100,307,308,"He said, oh, just leave that.",tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,101,308,310,And that was mine too.,ochild,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,102,310,312,Maybe he's saving it for later.,tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,103,312,313,"Oh, my goodness.",tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,104,313,314,It could be.,tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,105,314,315,Where is Felicity?,ochild,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,106,315,318,"Well, you know what that is, Felicity, the one who just hopped away.",tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,107,318,319,Frank is the other one.,tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,108,319,320,We don't know where Frank is.,tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,109,320,322,Maybe over there in the trees and you look.,tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,110,322,325,But when he went behind there.,ochild,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,111,325,327,You want to go take a peek and see?,tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,112,327,328,You don't look?,tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,113,328,330,I see one.,ochild,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,114,330,336.88,"I mean, Eliza, can I give you these as well two more for you unless you want some",tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,115,336.88,341.04,Olivia or no okay hey Eliza could you give one or two two Olivia would you,tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,116,341.04,345.84,give her one and two pieces in here Would you give her one maybe?,tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,117,345.84,346.84,There you go.,tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,118,346.84,348.24,There's Olivia right there.,tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,119,348.24,349.84,"Sorry, Olivia.",tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,120,349.84,351.16,"Her sister's name is Olivia, right?",tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,121,351.16,351.76,So it's confusing.,tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,122,351.76,369,"When I say Olivia, she thinks it for her sister. Let's go first.",tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,123,363,370,Now they're both behind.,kchild,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,124,372,376.64,Now they're both behind a shed now. They're both behind a shed now. They're both behind a shed now. They are. You can...,kchild,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,125,376.64,387,"You can have this one out. There and there. Yeah, they're behind a shed.",ochild,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,126,387,390,"Yeah, they're behind a shed.",kchild,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,127,390,392,Not.,ochild,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,128,392,397,"Eat it, eat it, eat it, eat it, eat it, eat it, eat it, eat it, eat it.",ochild,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,129,397,400,Why aren't they coming?,ochild,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,130,400,402,Maybe let's just go away.,ochild,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,131,404,405,Me too.,kchild,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,132,405,408,"Let's put you in there and go away, okay?",ochild,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,133,408,410,Okay? Okay?,ochild,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,134,410,412,Yeah.,ochild,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,135,412,414,This is boring. This is boring.,ochild,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,136,414,416,"Yeah, they're boring.",ochild,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,137,416,418,Beautiful.,ochild,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,138,418,437,"Yeah. Yeah. I didn't have a chatty catty, but I was friends with caddy.",tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,139,437,438,We have one.,tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,140,438,439,Chaddy.,tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,141,439,440,"All right, too.",tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,142,440,441,"Hi, Catherine.",tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,143,441,446.4,I'm just here delivering the news because there was and bringing food and there was no one there so okay,tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,144,446.4,450.56,You go okay. I'm gonna go use I'm gonna go party and you need to go party,tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,145,450.56,454.2,You want to go to the classroom with me just in case Aline you want to go to the bathroom? Anyone need to go to the classroom with me just in case?,tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,146,454.2,455.72,Elize you want to go try?,tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,147,455.72,457.36,I like this.,kchild,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,148,457.36,458.36,You try it.,tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,149,458.36,460.2,"If I need to go like to just go,",kchild,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,150,460.2,461.8,"he didn't know how to do it, I'm tell.",kchild,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
01480001-50,151,461.8,464,"All right. Eslan, you want to try to go pee?",tadult,outdoor_sand,01480001,1,50,no,asian,female,2.96,3,2820
